,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-3.19200e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19120e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.19040e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18960e-02,3.04e+00,9.20e+00,2.80e+00,9.60e+00, 
-3.18880e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18800e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18720e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18640e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18560e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18480e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18400e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18320e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18240e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18160e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18080e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.18000e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17920e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17840e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17760e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17680e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17520e-02,3.04e+00,9.40e+00,3.00e+00,9.60e+00, 
-3.17440e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17360e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17280e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17200e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.17120e-02,3.04e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.17040e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16960e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16880e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16800e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16720e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16640e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16560e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16480e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16400e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16320e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16240e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16160e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16080e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.16000e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15920e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15840e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15760e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15680e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15520e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15440e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15360e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15280e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15200e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.15120e-02,4.80e-01,9.40e+00,2.00e-01,9.60e+00, 
-3.15040e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14960e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.14880e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14800e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14720e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14640e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14560e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14480e-02,-8.00e-02,9.20e+00,-2.00e-01,9.20e+00, 
-3.14400e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14320e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14240e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.14160e-02,-4.00e-02,9.20e+00,-2.00e-01,9.20e+00, 
-3.14080e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.14000e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13920e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13840e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13760e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.13680e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13600e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13520e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13440e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13360e-02,-4.00e-02,9.20e+00,0.00e+00,9.20e+00, 
-3.13280e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13200e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.13120e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.13040e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12960e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.12880e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12800e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12720e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.12640e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12560e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12480e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12400e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.12320e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12240e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.12160e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.12080e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.12000e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11920e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11840e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11760e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11680e-02,-8.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.11600e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11520e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11440e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11360e-02,-4.00e-02,9.20e+00,0.00e+00,9.20e+00, 
-3.11280e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11200e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11120e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.11040e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10960e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10880e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10800e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10720e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.10640e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.10560e-02,-8.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10480e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.10400e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10320e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
